P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Elapsed_time_miliseconds,Total_Score
221,168,0,0,0,100,261,200,0,0,0,100,5276,200
221,170,0,0,0,100,261,202,2,0,0,100,5310,200
219,170,0,0,0,100,259,202,0,0,0,100,5345,200
217,170,0,0,0,100,257,202,0,0,0,100,5379,200
215,170,0,0,0,100,255,202,0,0,0,100,5414,200
213,170,0,0,0,100,253,202,0,0,0,100,5448,200
213,172,0,0,0,100,253,204,2,0,0,100,5483,200
211,172,0,0,0,100,251,204,0,0,0,100,5517,200
209,172,0,0,0,100,249,204,0,0,0,100,5552,200
207,172,0,0,0,100,247,204,0,0,0,100,5586,200
205,172,0,0,0,100,245,204,0,0,0,100,5621,200
203,172,0,0,0,100,243,204,0,0,0,100,5655,200
201,172,0,0,0,100,241,204,0,0,0,100,5690,200
199,172,0,0,0,100,239,204,0,0,0,100,5724,200
197,172,0,0,0,100,237,204,0,0,0,100,5759,200
195,172,0,0,0,100,235,204,0,0,0,100,5793,200
193,172,0,0,0,100,233,204,0,0,0,100,5828,200
193,174,0,0,0,100,233,206,2,0,0,100,5862,200
191,174,0,0,0,100,231,206,0,0,0,100,5897,200
189,174,0,0,0,100,229,206,0,0,0,100,5931,200
187,174,0,0,0,100,227,206,0,0,0,100,5966,200
187,176,0,0,0,100,227,208,2,0,0,100,6000,200
185,176,0,0,0,100,225,208,0,0,0,100,6036,200
183,176,0,0,0,100,223,208,0,0,0,100,6071,200
181,176,0,0,0,100,221,208,0,0,0,100,6107,200
179,176,0,0,0,100,219,208,0,0,0,100,6143,200
177,176,0,0,0,100,217,208,0,0,0,100,6179,200
175,176,0,0,0,100,215,208,0,0,0,100,6214,200
173,176,0,0,0,100,213,208,0,0,0,100,6250,200
171,176,0,0,0,100,211,208,0,0,0,100,6286,200
169,176,0,0,0,100,209,208,0,0,0,100,6321,200
167,176,0,0,0,100,207,208,0,0,0,100,6357,200
165,176,0,0,0,100,205,208,0,0,0,100,6393,200
163,176,0,0,0,100,203,208,0,0,0,100,6429,200
161,176,0,0,0,100,201,208,0,0,0,100,6464,200
159,176,0,0,0,100,199,208,0,0,0,100,6500,200
157,176,0,0,0,100,197,208,0,0,0,100,6536,200
155,176,0,0,0,100,195,208,0,0,0,100,6571,200
153,176,0,0,0,100,193,208,0,0,0,100,6607,200
151,176,0,0,0,100,191,208,0,0,0,100,6643,200
149,176,0,0,0,100,189,208,0,0,0,100,6679,200
147,176,0,0,0,100,187,208,0,0,0,100,6714,200
149,176,0,0,0,100,189,208,1,0,0,100,6750,200
147,176,0,0,0,100,187,208,0,0,0,100,6786,200
145,176,0,0,0,100,185,208,0,0,0,100,6821,200
145,176,0,0,0,100,185,208,4,0,0,100,6857,200
143,176,0,0,0,100,183,208,0,0,0,100,6893,200
141,176,0,0,0,100,181,208,0,0,0,100,6929,200
139,176,0,0,0,100,179,208,0,0,0,100,6964,200
137,176,0,0,0,100,177,208,0,0,0,100,7000,200
137,174,2,0,0,100,175,208,0,0,0,100,7034,200
137,172,2,0,0,100,173,208,0,0,0,100,7069,200
137,170,2,0,0,100,171,208,0,0,0,100,7103,200
139,170,2,0,0,100,173,208,1,0,0,100,7138,200
139,168,2,0,0,100,173,206,3,0,0,100,7172,200
139,166,2,0,0,100,173,204,3,0,0,100,7207,200
139,164,2,0,0,100,173,202,3,0,0,100,7241,200
139,162,2,0,0,100,173,200,3,0,0,100,7276,200
141,162,1,0,0,100,173,198,3,0,0,100,7310,200
143,162,1,0,0,100,173,198,4,0,0,100,7345,200
145,162,1,0,0,100,173,198,4,0,0,100,7379,200
147,162,1,0,0,100,173,198,4,0,0,100,7414,200
149,162,1,0,0,100,173,198,4,0,0,100,7448,200
149,160,2,0,0,100,173,198,4,0,0,100,7483,200
149,158,2,0,0,100,173,198,4,0,0,100,7517,200
149,156,2,0,0,100,173,198,4,0,0,100,7552,200
149,154,2,0,0,100,173,198,4,0,0,100,7586,200
149,152,2,0,0,100,171,198,0,0,0,100,7621,200
149,150,2,0,0,100,171,196,3,0,0,100,7655,200
149,148,2,0,0,100,171,194,3,0,0,100,7690,200
149,146,2,0,0,100,171,192,3,0,0,100,7724,200
149,144,2,0,0,100,171,190,3,0,0,100,7759,200
149,142,2,0,0,100,171,188,3,0,0,100,7793,200
147,142,2,0,0,100,169,188,0,0,0,100,7828,200
147,140,2,0,0,100,169,186,3,0,0,100,7862,200
147,138,2,0,0,100,169,184,3,0,0,100,7897,200
147,136,2,0,0,100,169,182,3,0,0,100,7931,200
147,134,2,0,0,100,169,180,3,0,0,100,7966,200
147,132,2,0,0,100,169,178,3,0,0,100,8000,200
147,130,2,0,0,100,169,176,3,0,0,100,8036,200
147,128,2,0,0,100,169,174,3,0,0,100,8071,200
147,126,2,0,0,100,169,172,3,0,0,100,8107,200
147,124,2,0,0,100,169,170,3,0,0,100,8143,200
147,122,2,0,0,100,169,168,3,0,0,100,8179,200
147,120,2,0,0,100,169,166,3,0,0,100,8214,200
147,118,2,0,0,100,169,164,3,0,0,100,8250,200
147,116,2,0,0,100,169,162,3,0,0,100,8286,200
147,114,2,0,0,100,169,160,3,0,0,100,8321,200
147,112,2,0,0,100,169,158,3,0,0,100,8357,200
147,110,2,0,0,100,169,156,3,0,0,100,8393,200
147,108,2,0,0,100,169,154,3,0,0,100,8429,200
147,106,2,0,0,100,169,152,3,0,0,100,8464,200
145,106,2,0,0,100,167,152,0,0,0,100,8500,200
145,108,2,0,0,100,167,154,2,0,0,100,8536,200
145,106,2,0,0,100,167,152,3,0,0,100,8571,200
145,108,2,0,0,100,167,154,2,0,0,100,8607,200
145,106,2,0,0,100,167,152,3,0,0,100,8643,200
143,106,0,0,0,100,167,150,3,0,0,100,8679,200
141,106,0,0,0,100,167,148,3,0,0,100,8714,200
139,106,0,0,0,100,167,146,3,0,0,100,8750,200
137,106,0,0,0,100,167,144,3,0,0,100,8786,200
135,106,0,0,0,100,167,144,4,0,0,100,8821,200
135,104,2,0,0,100,167,144,4,0,0,100,8857,200
135,102,2,0,0,100,167,142,3,0,0,100,8893,200
135,100,2,0,0,100,167,140,3,0,0,100,8929,200
135,98,2,0,0,100,167,138,3,0,0,100,8964,200
135,96,2,0,0,100,167,136,3,0,0,100,9000,200
135,94,2,0,0,100,167,134,3,0,0,100,9034,200
135,92,2,0,0,100,167,132,3,0,0,100,9069,200
135,90,2,0,0,100,167,130,3,0,0,100,9103,200
135,88,2,0,0,100,167,128,3,0,0,100,9138,200
135,86,2,0,0,100,167,126,3,0,0,100,9172,200
135,84,2,0,0,100,167,124,3,0,0,100,9207,200
135,84,2,0,0,100,167,124,4,0,0,100,9241,200
135,82,2,0,0,100,167,122,3,0,0,100,9276,200
135,80,2,0,0,100,167,120,3,0,0,100,9310,200
