P1_to_P2_distance,P1_to_obs_1_distance,P1_to_obs_2_distance,P1_to_obs_3_distance,P1_to_obs_4_distance,P1_to_obs_5_distance,P2_to_obs_1_distance,P2_to_obs_2_distance,P2_to_obs_3_distance,P2_to_obs_4_distance,P2_to_obs_5_distance,P1_to_goal_distance,P2_to_goal_distance,P1_action,P2_action,reward,timestamp_milliseconds
50.24937810560445,22.0,25.709920264364882,51.54609587543949,61.68468205316454,97.86214794290998,20.0,27.018512172212592,51.40038910358559,85.27602242131137,86.83317338436964,268.1734513332742,291.8938163099726,1,1,50,45370
50.24937810560445,22.0,25.96150997149434,51.24451190127583,61.40032573203501,98.71676655968832,20.0,27.0,52.20153254455275,84.50443775329198,86.05230967266364,267.686383665662,291.27478435319455,1,1,50,45407
50.24937810560445,22.0,26.248809496813376,50.96076922496363,61.1310068623117,98.95453501482385,20.0,27.0,53.009433122794285,83.73768566183328,85.27602242131137,267.20217064986576,290.6578744847626,1,1,50,45444
50.24937810560445,22.0,26.570660511172846,50.695167422546305,60.876925020897694,99.20181449953424,20.0,27.0,53.823786563191554,82.97590011563598,84.50443775329198,266.7208278331484,290.0431002454635,1,1,50,45481
50.24937810560445,22.0,26.92582403567252,50.44799302251776,60.63827174318213,99.45853407325085,20.0,27.0,54.644304369257,82.21921916437786,83.73768566183328,266.2423707827137,289.4304752440558,1,1,50,45519
50.24937810560445,22.0,27.313000567495326,50.21951811795888,60.41522986797286,99.72462083156798,20.0,27.0,55.47071299343465,81.46778504415104,82.97590011563598,265.7668150842012,288.8200131569833,1,1,50,45556
50.24937810560445,22.0,27.730849247724095,50.00999900019995,60.207972893961475,100.0,20.0,27.0,56.302753041036986,80.72174428244226,82.21921916437786,265.2941763401526,288.2117277280715,1,1,50,45593
50.24937810560445,22.0,28.178005607210743,49.8196748283246,60.01666435249463,100.2845950283492,20.0,27.0,57.14017850864661,79.98124780221924,81.46778504415104,264.8244701684495,287.6056327682057,1,1,50,45630
50.24937810560445,22.0,28.653097563788805,49.64876634922564,59.841457201508724,100.0,20.0,27.0,57.982756057296896,79.2464510246358,80.72174428244226,264.35771220072246,287.0017421549911,1,1,50,45667
50.24937810560445,22.0,29.154759474226502,49.49747468305833,59.682493245507096,99.0,20.0,27.0,58.83026432033091,78.5175139698144,79.98124780221924,263.89391808073185,286.40006983239374,1,1,50,45704
50.24937810560445,22.0,29.68164415931166,49.36598018878993,59.53990258641679,98.0,20.0,27.0,59.682493245507096,77.79460135510689,79.2464510246358,263.4331034627197,285.80062981036275,1,1,50,45741
50.24937810560445,22.0,30.23243291566195,49.25444142409901,59.413803110051795,97.0,20.0,27.0,60.53924347066124,77.07788269017254,78.5175139698144,262.9752840097335,285.20343616443336,1,1,50,45778
50.24937810560445,22.0,30.805843601498726,49.16299421312742,59.30430001273095,96.0,20.0,27.0,61.40032573203501,76.36753236814714,77.79460135510689,262.5204753919206,284.60850303530987,1,1,50,45815
