P1_to_P2_distance,P1_to_obs_1_distance,P1_to_obs_2_distance,P1_to_obs_3_distance,P1_to_obs_4_distance,P1_to_obs_5_distance,P2_to_obs_1_distance,P2_to_obs_2_distance,P2_to_obs_3_distance,P2_to_obs_4_distance,P2_to_obs_5_distance,P1_to_goal_distance,P2_to_goal_distance,timestamp_milliseconds
15.0,139.60659010233005,162.87418457201866,178.60011198204776,198.15398053029367,219.20994502987313,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,19.0,24.20743687382041,8724
16.0,139.08630414242805,161.9660458244258,177.6879286839711,197.7725966861941,219.10727965998757,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,19.026297590440446,24.20743687382041,8759
17.0,138.5712812959453,161.05899540230592,176.7766952966369,197.39554199626699,219.0091322296858,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,19.1049731745428,24.20743687382041,8793
18.0,138.06158046321215,160.15305179733542,175.86642658563346,197.02284131541703,218.91550881561588,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,19.235384061671343,24.20743687382041,8828
19.0,137.55726080436466,159.24823389915505,174.95713760804387,196.65451939886864,218.82641522448793,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,19.4164878389476,24.20743687382041,8862
20.0,137.05838172107534,158.3445610054226,174.04884371922728,196.29060089571277,218.74185699129464,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,19.6468827043885,24.20743687382041,8897
21.0,136.56500283747664,157.4420528321452,173.1415605797753,195.93111034238538,218.66183937761065,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,19.924858845171276,24.20743687382041,8931
22.0,136.07718398026907,156.54072952429985,172.23530416264836,195.57607215607945,218.58636736997119,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,20.248456731316587,24.20743687382041,8966
23.0,135.5949851580065,155.64061166674975,171.3300907604966,195.2255106280939,218.03669415949233,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,20.615528128088304,24.20743687382041,9000
24.0,135.1184665395519,154.74172029546526,170.42593699317015,194.87944991712183,217.03686322834653,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,21.02379604162864,24.20743687382041,9036
25.0,134.6476884316994,153.8440769090575,169.5228598154243,194.5379140424817,216.03703386225243,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,21.470910553583888,24.20743687382041,9071
26.0,134.18271125595876,152.9477034806342,168.62087652482418,194.20092687729377,215.03720608304042,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,21.95449840010015,24.20743687382041,9107
27.0,133.7235955244997,152.0526224699857,167.72000476985446,193.86851214160592,214.03737991294884,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,22.47220505424423,24.20743687382041,9143
28.0,133.27040181525678,151.15885683611134,166.82026255823962,193.54069339547175,213.03755537463343,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,23.021728866442675,24.20743687382041,9179
29.0,132.82319074619463,150.2664300500947,165.92166826548,193.2174940319846,212.03773249117714,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,23.600847442411894,24.20743687382041,9214
30.0,132.38202294873727,149.37536610833797,165.0242406436097,192.89893727027115,211.03791128610044,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,24.20743687382041,24.20743687382041,9250
31.0,131.94695904036593,148.48568954616468,164.12799883018133,192.5850461484484,210.03809178337153,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,24.839484696748443,24.20743687382041,9286
32.0,131.51805959639154,147.59742545180114,163.23296235748464,192.27584351654787,209.03827400741713,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,25.495097567963924,24.20743687382041,9321
33.0,131.0953851209111,146.71059948074645,162.33915116200404,191.9713520294109,208.0384579831335,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,26.1725046566048,24.20743687382041,9357
34.0,130.6789960169575,145.82523787054146,161.4465855941215,191.67159413955946,207.03864373589778,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,26.870057685088806,24.20743687382041,9393
