P1_to_P2_distance,P1_to_obs_1_distance,P1_to_obs_2_distance,P1_to_obs_3_distance,P1_to_obs_4_distance,P1_to_obs_5_distance,P2_to_obs_1_distance,P2_to_obs_2_distance,P2_to_obs_3_distance,P2_to_obs_4_distance,P2_to_obs_5_distance,P1_to_goal_distance,P2_to_goal_distance,P1_action,P2_action,reward,timestamp_milliseconds
50.695167422546305,34.0,54.3323108288245,58.0,69.0,114.0,19.6468827043885,35.805027579936315,45.0,56.0,102.25947388873072,171.95929750961417,222.64770378335368,1,1,0,41074
50.695167422546305,34.0,55.326304774492215,58.0,69.0,114.0,19.924858845171276,35.0,45.0,56.0,102.1077861869505,170.98830369355676,221.6776939613005,1,1,0,41111
50.695167422546305,34.0,56.32051136131489,58.0,69.0,114.0,20.248456731316587,34.20526275297414,45.0,56.0,101.96568050084302,170.01764614298128,220.70795182774907,1,1,0,41148
50.695167422546305,34.0,57.3149195236284,58.0,69.0,114.0,20.615528128088304,33.421549934136806,45.0,56.0,101.83319694480774,169.04733065032408,219.73848092675985,1,1,0,41185
50.695167422546305,34.0,58.0,58.309518948453004,69.0,114.0,21.02379604162864,32.64965543462902,45.0,56.0,101.71037311896953,168.0773631397161,218.76928486421488,1,1,0,41222
50.695167422546305,34.0,58.0,59.30430001273095,69.0,114.0,21.470910553583888,31.89043743820395,45.0,56.0,101.59724405711013,167.10774967068403,217.8003673091485,1,1,0,41259
50.695167422546305,34.0,58.0,60.29925372672534,69.0,114.0,21.95449840010015,31.144823004794873,45.0,56.0,101.49384217774002,166.13849644197458,216.83173199511182,1,1,0,41296
50.695167422546305,34.0,58.0,61.29437168288782,69.0,114.0,22.47220505424423,30.4138126514911,45.0,56.0,101.40019723846694,165.1696097955069,215.8633827215723,1,1,0,41333
50.695167422546305,34.0,58.0,62.289646009589745,69.0,114.0,23.021728866442675,29.698484809834994,45.0,56.0,101.31633629380802,164.20109622045769,214.89532335534898,1,1,0,41370
50.695167422546305,34.0,58.0,63.28506932918696,69.00724599634447,114.0,23.600847442411894,29.0,45.0,56.0,101.24228365658294,163.23296235748464,213.92755783208483,1,1,0,41407
50.695167422546305,34.0,58.0,64.28063471995279,69.02897942168927,114.0,24.20743687382041,28.319604517012593,45.0,56.0,101.17806086301516,162.265215003093,212.96009015775704,1,1,0,41444
50.695167422546305,34.0,58.0,65.27633568147036,69.06518659932803,114.0,24.839484696748443,27.65863337187866,45.0,56.0,101.1236866416568,161.29786111415117,211.9929244102265,1,1,0,41481
50.695167422546305,34.0,58.0,66.27216610312357,69.1158447825099,114.0,25.495097567963924,27.018512172212592,45.0,56.0,101.07917688624102,160.3309078125612,211.02606474082768,1,1,0,41519
50.695167422546305,34.0,58.0,67.26812023536856,69.18092222571191,114.0,26.1725046566048,26.40075756488817,45.0,56.0,101.04454463255303,159.3643623900902,210.05951537600004,1,1,0,41556
50.695167422546305,34.0,58.008620049092706,68.26419266350405,69.26037828369117,114.0,25.80697580112788,26.870057685088806,45.0,56.0,101.01980003939822,158.39823231336896,209.093280618962,1,1,0,41593
50.695167422546305,34.0,58.034472514187634,69.26037828369117,69.35416353759881,114.0,25.238858928247925,27.586228448267445,45.0,56.0,101.00495037373169,157.4325252290644,208.12736485142938,1,1,0,41630
50.695167422546305,34.0,58.077534382926416,69.46221994724903,70.25667228100119,114.0,24.698178070456937,28.319604517012593,45.0,56.0,101.0,156.46724896923317,207.16177253537873,1,1,0,41667
50.695167422546305,34.0,58.137767414994535,69.58448102845921,71.25307010929424,114.0,24.186773244895647,29.068883707497267,45.0,56.0,101.0,155.502411556863,206.196508214858,1,1,0,41704
50.695167422546305,34.0,58.215118311311535,69.72087205421343,72.24956747275377,114.0,23.706539182259394,29.832867780352597,45.0,56.0,101.0,154.53802121160993,205.23157651784484,1,1,0,41741
50.695167422546305,34.0,58.309518948453004,69.87131027825369,73.24616030891995,114.0,23.259406699226016,30.610455730027933,45.0,56.0,101.0,153.57408635573907,204.26698215815497,1,1,0,41778
50.695167422546305,34.0,58.42088667591412,70.03570517957252,74.24284477308234,114.0,22.847319317591726,31.400636936215164,45.0,56.0,101.0,152.6106156202772,203.30272993740147,1,1,0,41815
50.695167422546305,34.0,58.54912467321779,70.21395872616783,75.23961722390672,114.0,22.47220505424423,32.202484376209235,45.0,56.0,101.0,151.64761785138597,202.33882474700698,1,1,0,41852
50.695167422546305,34.0,58.69412236331676,70.40596565632774,76.23647421018367,114.0,22.135943621178654,33.015148038438355,45.0,56.0,101.0,150.68510211696443,201.37527157027003,1,1,0,41889
50.695167422546305,34.0,58.855755878248644,70.61161377563892,77.23341245859851,114.0,21.840329667841555,33.83784863137726,45.0,56.0,101.0,149.7230777134908,200.4120754844877,1,1,0,41926
50.695167422546305,34.0,59.033888572581766,70.83078426785913,78.23042886243178,114.0,21.587033144922902,34.66987164671943,45.0,56.0,101.0,148.7615541731129,199.44924166313595,1,1,0,41963
50.695167422546305,34.0,59.22837157984339,71.06335201775947,79.22752047110903,114.0,21.37755832643195,35.510561809129406,45.0,56.0,101.0,147.80054127099805,198.48677537810926,1,1,0,42000
50.695167422546305,34.0,59.43904440685432,71.30918594402827,80.22468448052632,114.0,21.213203435596427,36.359317925395686,45.0,56.0,101.0,146.84004903295286,197.52468200202222,1,1,0,42037
50.695167422546305,34.0,59.665735560705194,71.56814934033156,81.2219182240853,114.0,21.095023109728988,37.21558813185679,45.0,56.0,101.0,145.8800877433243,196.562967010574,1,1,0,42074
50.695167422546305,34.0,59.90826320300064,71.84010022264724,82.21921916437786,114.00438588054409,21.02379604162864,38.07886552931954,45.0,56.0,101.0,144.9206679531943,195.6016359849784,1,1,0,42111
50.695167422546305,34.0,60.166435825965294,72.12489168102785,83.21658488546619,114.0175425099138,21.0,38.948684188300895,45.0,56.0,101.0,143.96180048887967,194.64069461446135,1,1,0,42148
50.695167422546305,35.0,61.1310068623117,73.08214556237385,83.15046602394962,115.0173899895142,22.0,38.47076812334269,46.0,57.0,102.0,143.68020044529447,194.36563482261982,1,3,0,42185
50.695167422546305,36.0,62.0966987850401,74.04052944165107,83.09632964216891,116.01724009818541,23.0,38.01315561749642,47.0,58.0,103.0,143.40502083260543,194.09533739891847,1,3,0,42222
50.695167422546305,37.0,63.06346010171025,75.0,83.05419917138447,117.01709276853532,24.0,37.57658845611187,48.0,59.0,104.0,143.13629868066312,193.82982226685345,1,3,0,42259
50.695167422546305,38.0,64.03124237432849,75.96051605933177,83.02409288875127,118.01694793545543,25.0,37.16180835212409,49.0,60.0,105.0,142.87407042567241,193.56910910576616,1,3,0,42296
50.695167422546305,39.0,65.0,76.92203845452875,83.00602387778854,119.01680553602503,26.0,36.76955262170047,50.0,61.0,106.0,142.61837188805654,193.31321734428818,1,3,0,42333
50.695167422546305,40.0,65.96969000988257,77.88452991448301,83.0,120.01666550941998,27.0,36.40054944640259,51.0,62.0,107.0,142.36923825040296,193.06216615380654,1,3,0,42370
50.695167422546305,41.0,66.94027188471824,78.84795495128583,83.0,121.01652779682617,28.0,36.05551275463989,52.0,63.0,108.0,142.12670403551894,192.81597444195333,1,3,0,42407
50.695167422546305,42.0,67.91170738539859,79.81227975693966,83.0,122.01639234135715,29.0,35.73513677041127,53.0,64.0,109.0,141.89080308462562,192.57466084612483,1,3,0,42444
50.695167422546305,43.0,68.8839603971781,80.77747210701756,83.0,123.01625908797584,30.0,35.4400902933387,54.0,65.0,110.0,141.66156853571826,192.33824372703418,1,3,0,42481
50.695167422546305,44.0,69.85699678629192,81.74350127074322,83.0,124.01612798341996,31.0,35.17101079013795,55.0,66.0,111.0,141.4390328021229,192.1067411623028,1,3,0,42519
50.695167422546305,44.0,70.09279563550022,82.00609733428362,84.0,124.03628501370073,31.0,36.138621999185304,55.0,66.0,111.0,140.46351839534705,191.1334612253961,1,1,0,42556
50.695167422546305,44.0,70.3420215802759,82.28000972289685,85.0,124.06449935416659,31.0,37.107950630558946,55.0,66.0,111.0,139.48835076808385,190.16045856065872,1,1,0,42593
50.695167422546305,44.0,70.60453243241541,82.56512580987206,86.0,124.10076550932311,31.0,38.07886552931954,55.0,66.0,111.0,138.51353724455961,189.1877374461675,1,1,0,42630
50.695167422546305,44.0,70.8801805866774,82.86132994346639,87.0,124.14507642270796,31.0,39.05124837953327,55.0,66.0,111.0,137.53908535394584,188.2153022471871,1,1,0,42667
50.695167422546305,44.0,71.16881339463234,83.16850365372699,88.0,124.19742348374221,31.0,40.024992192379,55.0,66.0,111.0,136.56500283747664,187.2431574183687,1,1,0,42704
50.695167422546305,44.0,71.47027354082255,83.48652585896721,89.0,124.25779653607253,31.0,41.0,55.0,66.0,111.0,135.5912976558599,186.27130750601393,1,1,0,42741
50.695167422546305,44.0,71.78439941937245,83.81527307120105,90.0,124.32618388738553,31.0,41.97618372363071,55.0,66.0,111.0,134.61797799699713,185.29975715040752,1,1,0,42778
50.695167422546305,44.0,72.11102550927978,84.15461959987698,91.0,124.4025723206719,31.0,42.95346318982906,55.0,66.0,111.0,133.64505228402584,184.32851108821987,1,1,0,42815
50.695167422546305,44.0,72.11102550927978,84.15461959987698,91.0,124.4025723206719,31.0,42.95346318982906,55.0,66.0,111.0,133.64505228402584,184.32851108821987,1,4,0,42852
50.695167422546305,44.0,72.11102550927978,84.15461959987698,91.0,124.4025723206719,31.0,42.95346318982906,55.0,66.0,111.0,133.64505228402584,184.32851108821987,1,4,0,42889
50.695167422546305,44.0,72.11102550927978,84.15461959987698,91.0,124.4025723206719,31.0,42.95346318982906,55.0,66.0,111.0,133.64505228402584,184.32851108821987,1,4,0,42926
50.695167422546305,44.0,72.11102550927978,84.15461959987698,91.0,124.4025723206719,31.0,42.95346318982906,55.0,66.0,111.0,133.64505228402584,184.32851108821987,1,4,0,42963
50.695167422546305,44.0,72.11102550927978,84.15461959987698,91.0,124.4025723206719,31.0,42.95346318982906,55.0,66.0,111.0,133.64505228402584,184.32851108821987,1,4,0,43000
50.695167422546305,44.0,72.11102550927978,84.15461959987698,91.0,124.4025723206719,31.0,42.95346318982906,55.0,66.0,111.0,133.64505228402584,184.32851108821987,1,4,0,43036
50.695167422546305,44.0,72.11102550927978,84.15461959987698,91.0,124.4025723206719,31.0,42.95346318982906,55.0,66.0,111.0,133.64505228402584,184.32851108821987,1,4,0,43071
50.695167422546305,44.0,72.11102550927978,84.15461959987698,91.0,124.4025723206719,31.0,42.95346318982906,55.0,66.0,111.0,133.64505228402584,184.32851108821987,1,4,0,43107
50.695167422546305,44.0,72.11102550927978,84.15461959987698,91.0,124.4025723206719,31.0,42.95346318982906,55.0,66.0,111.0,133.64505228402584,184.32851108821987,1,4,0,43143
50.695167422546305,44.0,72.11102550927978,84.15461959987698,91.0,124.4025723206719,31.0,42.95346318982906,55.0,66.0,111.0,133.64505228402584,184.32851108821987,1,4,0,43179
50.695167422546305,44.0,72.11102550927978,84.15461959987698,91.0,124.4025723206719,31.0,42.95346318982906,55.0,66.0,111.0,133.64505228402584,184.32851108821987,1,4,0,43214
50.695167422546305,44.0,72.11102550927978,84.15461959987698,91.0,124.4025723206719,31.0,42.95346318982906,55.0,66.0,111.0,133.64505228402584,184.32851108821987,1,4,0,43250
