P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal
599,542,4,0,0,599,571,2,0,0
599,542,4,0,0,599,570,2,0,0
599,542,4,0,0,599,569,2,0,0
599,541,2,0,0,599,568,2,0,0
599,540,2,0,0,599,568,4,0,0
599,539,2,0,0,599,568,4,0,0
599,538,2,0,0,599,568,4,0,0
599,537,2,0,0,599,568,4,0,0
599,536,2,0,0,599,568,4,0,0
599,535,2,0,0,599,568,4,0,0
599,534,2,0,0,599,568,4,0,0
599,533,2,0,0,599,568,4,0,0
599,532,2,0,0,599,568,4,0,0
599,531,2,0,0,599,568,4,0,0
599,530,2,0,0,599,568,4,0,0
599,529,2,0,0,599,568,4,0,0
599,528,2,0,0,599,568,4,0,0
599,527,2,0,0,599,568,4,0,0
599,526,2,0,0,599,568,4,0,0
599,525,2,0,0,599,568,4,0,0
599,524,2,0,0,599,568,4,0,0
599,523,2,0,0,599,568,4,0,0
599,522,2,0,0,599,568,4,0,0
599,521,2,0,0,599,568,4,0,0
599,520,2,0,0,599,568,4,0,0
599,519,2,0,0,599,568,4,0,0
599,518,2,0,0,599,568,4,0,0
599,518,2,0,0,599,568,4,0,0
599,518,2,0,0,599,568,4,0,0
599,518,2,0,0,599,568,4,0,0
599,518,2,0,0,599,568,4,0,0
599,518,2,0,0,599,568,4,0,0
599,518,4,0,0,599,568,4,0,0
599,518,4,0,0,599,568,4,0,0
599,518,4,0,0,599,568,4,0,0
599,518,0,0,0,599,568,4,0,0
599,518,0,0,0,599,568,4,0,0
599,518,0,0,0,599,568,4,0,0
599,518,0,0,0,599,568,4,0,0
599,518,0,0,0,599,568,4,0,0
599,518,0,0,0,599,568,4,0,0
599,518,0,0,0,599,568,4,0,0
599,518,0,0,0,599,568,4,0,0
599,518,0,0,0,599,568,4,0,0
599,518,0,0,0,599,568,4,0,0
598,518,0,0,0,599,567,2,0,0
597,518,0,0,0,599,566,2,0,0
596,518,0,0,0,599,565,2,0,0
595,518,0,0,0,599,564,2,0,0
595,518,4,0,0,599,563,2,0,0
595,518,4,0,0,599,562,2,0,0
595,518,4,0,0,599,562,4,0,0
595,518,4,0,0,599,562,4,0,0
595,518,4,0,0,599,562,4,0,0
595,518,4,0,0,599,561,2,0,0
595,518,4,0,0,599,560,2,0,0
595,518,4,0,0,599,559,2,0,0
594,518,0,0,0,599,558,2,0,0
593,518,0,0,0,599,557,2,0,0
592,518,0,0,0,599,556,2,0,0
591,518,0,0,0,599,555,2,0,0
590,518,0,0,0,599,555,4,0,0
589,518,0,0,0,599,555,4,0,0
588,518,0,0,0,599,555,4,0,0
587,518,0,0,0,599,555,4,0,0
586,518,0,0,0,599,555,4,0,0
585,518,0,0,0,599,555,4,0,0
584,518,0,0,0,599,555,4,0,0
583,518,0,0,0,599,555,4,0,0
582,518,0,0,0,599,555,4,0,0
581,518,0,0,0,599,555,4,0,0
580,518,0,0,0,599,555,4,0,0
579,518,0,0,0,599,555,4,0,0
578,518,0,0,0,599,555,4,0,0
577,518,0,0,0,599,555,4,0,0
576,518,0,0,0,599,555,4,0,0
575,518,0,0,0,599,555,4,0,0
574,518,0,0,0,599,555,4,0,0
573,518,0,0,0,599,555,4,0,0
572,518,0,0,0,599,555,4,0,0
571,518,0,0,0,599,555,4,0,0
570,518,0,0,0,599,555,4,0,0
569,518,0,0,0,599,555,4,0,0
568,518,0,0,0,599,555,4,0,0
567,518,0,0,0,599,555,4,0,0
566,518,0,0,0,599,554,2,0,0
565,518,0,0,0,599,553,2,0,0
564,518,0,0,0,599,552,2,0,0
563,518,0,0,0,599,551,2,0,0
562,518,0,0,0,599,550,2,0,0
561,518,0,0,0,599,549,2,0,0
560,518,0,0,0,599,548,2,0,0
559,518,0,0,0,599,547,2,0,0
558,518,0,0,0,599,546,2,0,0
557,518,0,0,0,599,545,2,0,0
