P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp,Elapsed_time_miliseconds,Total_Score,goal_x,goal_y,obs_0_x,obs_0_y,obs_0_width,obs_0_height,obs_1_x,obs_1_y,obs_1_width,obs_1_height,obs_2_x,obs_2_y,obs_2_width,obs_2_height,obs_3_x,obs_3_y,obs_3_width,obs_3_height,obs_4_x,obs_4_y,obs_4_width,obs_4_height,obs_5_x,obs_5_y,obs_5_width,obs_5_height
351,279,3,0,0,100,355,229,2,0,0,100,14:38:59,3214,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,281,3,0,0,100,355,231,2,0,0,100,14:38:59,3250,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,283,3,0,0,100,355,233,2,0,0,100,14:38:59,3286,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,285,3,0,0,100,355,235,2,0,0,100,14:38:59,3321,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,287,3,0,0,100,355,237,2,0,0,100,14:38:59,3357,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,289,3,0,0,100,355,239,2,0,0,100,14:38:59,3393,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,291,3,0,0,100,355,241,2,0,0,100,14:38:59,3429,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,293,3,0,0,100,355,243,2,0,0,100,14:38:59,3464,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,295,3,0,0,100,355,245,2,0,0,100,14:38:59,3500,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,297,3,0,0,100,355,247,2,0,0,100,14:38:59,3536,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,299,3,0,0,100,355,249,2,0,0,100,14:38:59,3571,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,301,3,0,0,100,355,251,2,0,0,100,14:38:59,3607,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,303,3,0,0,100,355,253,2,0,0,100,14:38:59,3643,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,305,3,0,0,100,355,255,2,0,0,100,14:38:59,3679,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
351,307,3,0,0,100,355,257,2,0,0,100,14:38:59,3714,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
