P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp
378,139,2,0,0,100,380,189,3,0,0,100,14:52:05
378,137,2,0,0,100,380,187,3,0,0,100,14:52:05
378,135,2,0,0,100,380,185,3,0,0,100,14:52:05
380,135,2,0,0,100,382,185,1,0,0,100,14:52:05
380,133,2,0,0,100,382,183,3,0,0,100,14:52:05
380,131,2,0,0,100,382,181,3,0,0,100,14:52:05
380,129,2,0,0,100,382,179,3,0,0,100,14:52:05
380,127,2,0,0,100,382,177,3,0,0,100,14:52:05
380,125,2,0,0,100,382,175,3,0,0,100,14:52:05
380,123,2,0,0,100,382,173,3,0,0,100,14:52:06
380,125,2,0,0,100,382,175,2,0,0,100,14:52:06
380,123,2,0,0,100,382,173,3,0,0,100,14:52:06
380,121,2,0,0,100,382,171,3,0,0,100,14:52:06
380,119,2,0,0,100,382,169,3,0,0,100,14:52:06
380,117,2,0,0,100,382,167,3,0,0,100,14:52:06
380,115,2,0,0,100,382,165,3,0,0,100,14:52:06
380,113,2,0,0,100,382,163,3,0,0,100,14:52:06
380,111,2,0,0,100,382,161,3,0,0,100,14:52:06
380,109,2,0,0,100,382,159,3,0,0,100,14:52:06
380,107,2,0,0,100,382,157,3,0,0,100,14:52:06
380,105,2,0,0,100,382,155,3,0,0,100,14:52:06
380,103,2,0,0,100,382,153,3,0,0,100,14:52:06
380,101,2,0,0,100,382,151,3,0,0,100,14:52:06
378,101,2,0,0,100,380,151,0,0,0,100,14:52:06
378,99,2,0,0,100,380,149,3,0,0,100,14:52:06
378,97,2,0,0,100,380,147,3,0,0,100,14:52:06
378,95,2,0,0,100,380,145,3,0,0,100,14:52:06
378,93,2,0,0,100,380,143,3,0,0,100,14:52:06
378,91,2,0,0,100,380,141,3,0,0,100,14:52:06
378,89,2,0,0,100,380,139,3,0,0,100,14:52:06
378,87,2,0,0,100,380,137,3,0,0,100,14:52:06
378,85,2,0,0,100,380,135,3,0,0,100,14:52:06
378,83,2,0,0,100,380,133,3,0,0,100,14:52:06
378,81,2,0,0,100,380,131,3,0,0,100,14:52:06
378,79,2,0,0,100,380,129,3,0,0,100,14:52:06
378,77,2,0,0,100,380,127,3,0,0,100,14:52:06
378,75,2,0,0,100,380,125,3,0,0,100,14:52:06
378,73,2,0,0,100,380,123,3,0,0,100,14:52:07
378,71,2,0,0,100,380,121,3,0,0,100,14:52:07
378,69,2,0,0,100,380,119,3,0,0,100,14:52:07
378,67,2,0,0,100,380,117,3,0,0,100,14:52:07
378,65,2,0,0,100,380,115,3,0,0,100,14:52:07
378,63,2,0,0,100,380,113,3,0,0,100,14:52:07
378,61,2,0,0,100,380,111,3,0,0,100,14:52:07
378,59,2,0,0,100,380,109,3,0,0,100,14:52:07
378,57,2,0,0,100,380,107,3,0,0,100,14:52:07
378,55,2,0,0,100,380,105,3,0,0,100,14:52:07
378,53,2,0,0,100,380,103,3,0,0,100,14:52:07
378,51,2,0,0,100,380,101,3,0,0,100,14:52:07
378,49,2,0,0,100,380,99,3,0,0,100,14:52:07
378,47,2,0,0,100,380,97,3,0,0,100,14:52:07
378,45,2,0,0,100,380,95,3,0,0,100,14:52:07
378,43,2,0,0,100,380,93,3,0,0,100,14:52:07
378,41,2,0,0,100,380,91,3,0,0,100,14:52:07
378,39,2,0,0,100,380,89,3,0,0,100,14:52:07
378,37,2,0,0,100,380,87,3,0,0,100,14:52:07
378,35,2,0,0,100,380,85,3,0,0,100,14:52:07
378,35,4,0,0,100,380,83,3,0,0,100,14:52:07
378,35,4,0,0,100,380,81,3,0,0,100,14:52:07
378,35,4,0,0,100,380,79,3,0,0,100,14:52:07
378,35,4,0,0,100,380,79,4,0,0,100,14:52:07
378,35,4,0,0,100,380,79,4,0,0,100,14:52:07
378,37,3,0,0,100,380,79,4,0,0,100,14:52:07
378,39,3,0,0,100,380,79,4,0,0,100,14:52:07
378,41,3,0,0,100,380,79,4,0,0,100,14:52:07
378,43,3,0,0,100,380,79,4,0,0,100,14:52:07
378,45,3,0,0,100,378,79,0,0,0,100,14:52:08
378,47,3,0,0,100,378,79,4,0,0,100,14:52:08
378,49,3,0,0,100,378,79,4,0,0,100,14:52:08
378,51,3,0,0,100,378,79,4,0,0,100,14:52:08
378,53,3,0,0,100,378,79,4,0,0,100,14:52:08
378,55,3,0,0,100,378,79,4,0,0,100,14:52:08
