P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,P1_action,P2_action,reward,timestamp_milliseconds
"(0, -11)","(-41, 35)","(-54, 75)","(-113, -2)","(55, 117)","(0.0, 134.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 262)","(-19, 273)",2,4,200,8429
"(0, -12)","(-41, 34)","(-54, 74)","(-113, -3)","(55, 116)","(0.0, 133.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 261)","(-19, 273)",2,4,200,8464
"(0, -13)","(-41, 33)","(-54, 73)","(-113, -4)","(55, 115)","(0.0, 132.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 260)","(-19, 273)",2,4,200,8500
"(0, -14)","(-41, 32)","(-54, 72)","(-113, -5)","(55, 114)","(0.0, 131.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 259)","(-19, 273)",2,4,200,8536
"(0, -15)","(-41, 31)","(-54, 71)","(-113, -6)","(55, 113)","(0.0, 130.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 258)","(-19, 273)",2,4,200,8571
"(0, -16)","(-41, 30)","(-54, 70)","(-113, -7)","(55, 112)","(0.0, 129.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 257)","(-19, 273)",2,4,200,8607
"(0, -17)","(-41, 29)","(-54, 69)","(-113, -8)","(55, 111)","(0.0, 128.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 256)","(-19, 273)",2,4,200,8643
"(0, -18)","(-41, 28)","(-54, 68)","(-113, -9)","(55, 110)","(0.0, 127.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 255)","(-19, 273)",2,4,200,8679
"(0, -19)","(-41, 27)","(-54, 67)","(-113, -10)","(55, 109)","(0.0, 126.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 254)","(-19, 273)",2,4,200,8714
"(0, -20)","(-41, 26)","(-54, 66)","(-113, -11)","(55, 108)","(0.0, 125.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 253)","(-19, 273)",2,4,200,8750
"(0, -21)","(-41, 25)","(-54, 65)","(-113, -12)","(55, 107)","(0.0, 124.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 252)","(-19, 273)",2,4,200,8786
"(0, -22)","(-41, 24)","(-54, 64)","(-113, -13)","(55, 106)","(0.0, 123.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 251)","(-19, 273)",2,4,200,8821
"(0, -23)","(-41, 23)","(-54, 63)","(-113, -14)","(55, 105)","(0.0, 122.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 250)","(-19, 273)",2,4,200,8857
"(0, -24)","(-41, 22)","(-54, 62)","(-113, -15)","(55, 104)","(0.0, 121.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 249)","(-19, 273)",2,4,200,8893
"(0, -25)","(-41, 21)","(-54, 61)","(-113, -16)","(55, 103)","(0.0, 120.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 248)","(-19, 273)",2,4,200,8929
"(0, -26)","(-41, 20)","(-54, 60)","(-113, -17)","(55, 102)","(0.0, 119.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 247)","(-19, 273)",2,4,200,8964
"(0, -27)","(-41, 19)","(-54, 59)","(-113, -18)","(55, 101)","(0.0, 118.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 246)","(-19, 273)",2,4,200,9000
"(0, -28)","(-41, 18)","(-54, 58)","(55, 100)","(-113, -19)","(0.0, 117.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 245)","(-19, 273)",2,4,200,9037
"(0, -29)","(-41, 17)","(-54, 57)","(55, 99)","(-113, -20)","(0.0, 116.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 244)","(-19, 273)",2,4,200,9074
"(0, -30)","(-41, 16)","(-54, 56)","(55, 98)","(-113, -21)","(0.0, 115.0)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 243)","(-19, 273)",2,4,200,9111
"(0, -31)","(-41, 15)","(-54, 55)","(55, 97)","(0.0, 114.0)","(-113, -22)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 242)","(-19, 273)",2,4,200,9148
"(0, -32)","(-41, 14)","(-54, 54)","(55, 96)","(0.0, 113.0)","(-113, -23)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 241)","(-19, 273)",2,4,200,9185
"(0, -33)","(-41, 13)","(-54, 53)","(55, 95)","(0.0, 112.0)","(-113, -24)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 240)","(-19, 273)",2,4,200,9222
"(0, -34)","(-41, 12)","(-54, 52)","(55, 94)","(0.0, 111.0)","(-113, -25)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 239)","(-19, 273)",2,4,200,9259
"(0, -35)","(-41, 11)","(-54, 51)","(55, 93)","(0.0, 110.0)","(-113, -26)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 238)","(-19, 273)",2,4,200,9296
"(0, -36)","(-41, 10)","(-54, 50)","(55, 92)","(0.0, 109.0)","(-113, -27)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 237)","(-19, 273)",2,4,200,9333
"(0, -37)","(-41, 9)","(-54, 49)","(55, 91)","(0.0, 108.0)","(-113, -28)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 236)","(-19, 273)",2,4,200,9370
"(0, -38)","(-41, 8)","(-54, 48)","(55, 90)","(0.0, 107.0)","(-113, -29)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 235)","(-19, 273)",2,4,200,9407
"(0, -39)","(-41, 7)","(-54, 47)","(55, 89)","(0.0, 106.0)","(-113, -30)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 234)","(-19, 273)",2,4,200,9444
"(0, -40)","(-41, 6)","(-54, 46)","(55, 88)","(0.0, 105.0)","(-113, -31)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 233)","(-19, 273)",2,4,200,9481
"(0, -41)","(-41, 5)","(-54, 45)","(55, 87)","(0.0, 104.0)","(-113, -32)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 232)","(-19, 273)",2,4,200,9519
"(0, -42)","(-41, 4)","(-54, 44)","(55, 86)","(0.0, 103.0)","(-113, -33)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 231)","(-19, 273)",2,4,200,9556
"(0, -43)","(-41, 3)","(-54, 43)","(55, 85)","(0.0, 102.0)","(-113, -34)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 230)","(-19, 273)",2,4,200,9593
"(0, -44)","(-41, 2)","(-54, 42)","(55, 84)","(0.0, 101.0)","(-113, -35)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 229)","(-19, 273)",2,4,200,9630
"(0, -45)","(-41, 1)","(-54, 41)","(55, 83)","(0.0, 100.0)","(-113, -36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 228)","(-19, 273)",2,4,200,9667
"(0, -46)","(-41, 0)","(-54, 40)","(55, 82)","(0.0, 99.0)","(-113, -37)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 227)","(-19, 273)",2,4,200,9704
"(0, -47)","(-41.0, 0.0)","(-54, 39)","(55, 81)","(0.0, 98.0)","(-113, -38)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 226)","(-19, 273)",2,4,200,9741
"(0, -48)","(-41.0, 0.0)","(-54, 38)","(0.0, 97.0)","(55, 80)","(-113, -39)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 225)","(-19, 273)",2,4,200,9778
"(0, -49)","(-41.0, 0.0)","(-54, 37)","(0.0, 96.0)","(55, 79)","(-114, 37)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 224)","(-19, 273)",2,4,200,9815
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,9852
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,9889
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,9926
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,9963
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,10000
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,10037
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,10074
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,10111
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,10148
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,10185
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,10222
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,10259
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,10296
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,10333
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,10370
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,10407
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,10444
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,10481
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,10519
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,10556
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,10593
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,10630
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,10667
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,10704
"(0, -50)","(-41.0, 0.0)","(-54, 36)","(0.0, 95.0)","(55, 78)","(-114, 36)","(-41, 46)","(-54, 86)","(-113.0, 0.0)","(55, 128)","(-114, 86)","(-19, 223)","(-19, 273)",2,4,200,10741
"(0, -50)","(-41.0, 0.0)","(-54, 35)","(0.0, 94.0)","(55, 77)","(-114, 35)","(-41, 45)","(-54, 85)","(-113.0, 0.0)","(55, 127)","(-114, 85)","(-19, 222)","(-19, 272)",2,2,200,10778
"(0, -50)","(-41.0, 0.0)","(-54, 34)","(0.0, 93.0)","(55, 76)","(-114, 34)","(-41, 44)","(-54, 84)","(-113.0, 0.0)","(55, 126)","(-114, 84)","(-19, 221)","(-19, 271)",2,2,200,10815
"(0, -50)","(-41.0, 0.0)","(-54, 33)","(0.0, 92.0)","(55, 75)","(-114, 33)","(-41, 43)","(-54, 83)","(-113.0, 0.0)","(55, 125)","(-114, 83)","(-19, 220)","(-19, 270)",2,2,200,10852
"(0, -50)","(-41.0, 0.0)","(-54, 32)","(0.0, 91.0)","(55, 74)","(-114, 32)","(-41, 42)","(-54, 82)","(-113.0, 0.0)","(55, 124)","(-114, 82)","(-19, 219)","(-19, 269)",2,2,200,10889
"(0, -50)","(-41.0, 0.0)","(-54, 31)","(0.0, 90.0)","(55, 73)","(-114, 31)","(-41, 41)","(-54, 81)","(-113.0, 0.0)","(55, 123)","(-114, 81)","(-19, 218)","(-19, 268)",2,2,200,10926
"(0, -50)","(-41.0, 0.0)","(-54, 30)","(0.0, 89.0)","(55, 72)","(-114, 30)","(-41, 40)","(-54, 80)","(-113.0, 0.0)","(55, 122)","(0.0, 139.0)","(-19, 217)","(-19, 267)",2,2,200,10963
"(0, -49)","(-41.0, 0.0)","(-54, 30)","(0.0, 89.0)","(55, 72)","(-114, 30)","(-41, 39)","(-54, 79)","(-113.0, 0.0)","(55, 121)","(0.0, 138.0)","(-19, 217)","(-19, 266)",4,2,200,11000
"(0, -48)","(-41.0, 0.0)","(-54, 30)","(0.0, 89.0)","(55, 72)","(-114, 30)","(-41, 38)","(-54, 78)","(-113.0, 0.0)","(55, 120)","(0.0, 137.0)","(-19, 217)","(-19, 265)",4,2,200,11037
"(0, -47)","(-41.0, 0.0)","(-54, 30)","(0.0, 89.0)","(55, 72)","(-114, 30)","(-41, 37)","(-54, 77)","(-113, 0)","(55, 119)","(0.0, 136.0)","(-19, 217)","(-19, 264)",4,2,200,11074
"(0, -46)","(-41.0, 0.0)","(-54, 30)","(0.0, 89.0)","(55, 72)","(-114, 30)","(-41, 36)","(-54, 76)","(-113, -1)","(55, 118)","(0.0, 135.0)","(-19, 217)","(-19, 263)",4,2,200,11111
"(0, -45)","(-41.0, 0.0)","(-54, 30)","(0.0, 89.0)","(55, 72)","(-114, 30)","(-41, 35)","(-54, 75)","(-113, -2)","(55, 117)","(0.0, 134.0)","(-19, 217)","(-19, 262)",4,2,200,11148
"(0, -44)","(-41.0, 0.0)","(-54, 30)","(0.0, 89.0)","(55, 72)","(-114, 30)","(-41, 34)","(-54, 74)","(-113, -3)","(55, 116)","(0.0, 133.0)","(-19, 217)","(-19, 261)",4,2,200,11185
"(0, -43)","(-41.0, 0.0)","(-54, 30)","(0.0, 89.0)","(55, 72)","(-114, 30)","(-41, 33)","(-54, 73)","(-113, -4)","(55, 115)","(0.0, 132.0)","(-19, 217)","(-19, 260)",4,2,200,11222
"(0, -42)","(-41.0, 0.0)","(-54, 30)","(0.0, 89.0)","(55, 72)","(-114, 30)","(-41, 32)","(-54, 72)","(-113, -5)","(55, 114)","(0.0, 131.0)","(-19, 217)","(-19, 259)",4,2,200,11259
"(0, -41)","(-41.0, 0.0)","(-54, 30)","(0.0, 89.0)","(55, 72)","(-114, 30)","(-41, 31)","(-54, 71)","(-113, -6)","(55, 113)","(0.0, 130.0)","(-19, 217)","(-19, 258)",4,2,200,11296
"(0, -40)","(-41.0, 0.0)","(-54, 30)","(0.0, 89.0)","(55, 72)","(-114, 30)","(-41, 30)","(-54, 70)","(-113, -7)","(55, 112)","(0.0, 129.0)","(-19, 217)","(-19, 257)",4,2,200,11333
"(0, -39)","(-41.0, 0.0)","(-54, 30)","(0.0, 89.0)","(55, 72)","(-114, 30)","(-41, 29)","(-54, 69)","(-113, -8)","(55, 111)","(0.0, 128.0)","(-19, 217)","(-19, 256)",4,2,200,11370
"(0, -38)","(-41.0, 0.0)","(-54, 30)","(0.0, 89.0)","(55, 72)","(-114, 30)","(-41, 28)","(-54, 68)","(-113, -9)","(55, 110)","(0.0, 127.0)","(-19, 217)","(-19, 255)",4,2,200,11407
"(0, -37)","(-41.0, 0.0)","(-54, 30)","(0.0, 89.0)","(55, 72)","(-114, 30)","(-41, 27)","(-54, 67)","(-113, -10)","(55, 109)","(0.0, 126.0)","(-19, 217)","(-19, 254)",4,2,200,11444
"(0, -38)","(-41.0, 0.0)","(-54, 29)","(0.0, 88.0)","(55, 71)","(-114, 29)","(-41, 27)","(-54, 67)","(-113, -10)","(55, 109)","(0.0, 126.0)","(-19, 216)","(-19, 254)",2,4,200,11778
"(0, -39)","(-41.0, 0.0)","(-54, 28)","(0.0, 87.0)","(55, 70)","(-114, 28)","(-41, 27)","(-54, 67)","(-113, -10)","(55, 109)","(0.0, 126.0)","(-19, 215)","(-19, 254)",2,4,200,11815
"(0, -40)","(-41.0, 0.0)","(-54, 27)","(0.0, 86.0)","(55, 69)","(-114, 27)","(-41, 27)","(-54, 67)","(-113, -10)","(55, 109)","(0.0, 126.0)","(-19, 214)","(-19, 254)",2,4,200,11852
"(-1, -40)","(-42.0, 0.0)","(-55, 27)","(0.0, 86.0)","(54, 69)","(-115, 27)","(-41, 27)","(-54, 67)","(-113, -10)","(55, 109)","(0.0, 126.0)","(-20, 214)","(-19, 254)",0,4,200,11889
"(-2, -40)","(-43.0, 0.0)","(-56, 27)","(0.0, 86.0)","(53, 69)","(-116, 27)","(-41, 27)","(-54, 67)","(-113, -10)","(55, 109)","(0.0, 126.0)","(-21, 214)","(-19, 254)",0,4,200,11926
"(-3, -40)","(-44.0, 0.0)","(-57, 27)","(0.0, 86.0)","(52, 69)","(-117, 27)","(-41, 27)","(-54, 67)","(-113, -10)","(55, 109)","(0.0, 126.0)","(-22, 214)","(-19, 254)",0,4,200,11963
"(-4, -40)","(-45.0, 0.0)","(-58, 27)","(51, 69)","(0.0, 86.0)","(-118, 27)","(-41, 27)","(-54, 67)","(-113, -10)","(55, 109)","(0.0, 126.0)","(-23, 214)","(-19, 254)",0,4,200,12000
"(-5, -40)","(-46.0, 0.0)","(-59, 27)","(50, 69)","(0.0, 86.0)","(-119, 27)","(-41, 27)","(-54, 67)","(-113, -10)","(55, 109)","(0.0, 126.0)","(-24, 214)","(-19, 254)",0,4,200,12036
"(-6, -40)","(-47.0, 0.0)","(-60, 27)","(49, 69)","(0.0, 86.0)","(-120, 27)","(-41, 27)","(-54, 67)","(-113, -10)","(55, 109)","(0.0, 126.0)","(-25, 214)","(-19, 254)",0,4,200,12071
"(-7, -40)","(-48.0, 0.0)","(-61, 27)","(48, 69)","(0, 86)","(-121, 27)","(-41, 27)","(-54, 67)","(-113, -10)","(55, 109)","(0.0, 126.0)","(-26, 214)","(-19, 254)",0,4,200,12107
"(-8, -40)","(-49.0, 0.0)","(-62, 27)","(47, 69)","(-1, 86)","(-122, 27)","(-41, 27)","(-54, 67)","(-113, -10)","(55, 109)","(0.0, 126.0)","(-27, 214)","(-19, 254)",0,4,200,12143
"(-9, -40)","(-50.0, 0.0)","(-63, 27)","(46, 69)","(-2, 86)","(-123, 27)","(-41, 27)","(-54, 67)","(-113, -10)","(55, 109)","(0.0, 126.0)","(-28, 214)","(-19, 254)",0,4,200,12179
"(-10, -40)","(-51.0, 0.0)","(-64, 27)","(45, 69)","(-3, 86)","(-124, 27)","(-41, 27)","(-54, 67)","(-113, -10)","(55, 109)","(0.0, 126.0)","(-29, 214)","(-19, 254)",0,4,200,12214
"(-11, -40)","(-52.0, 0.0)","(-65, 27)","(44, 69)","(-4, 86)","(-125, 27)","(-41, 27)","(-54, 67)","(-113, -10)","(55, 109)","(0.0, 126.0)","(-30, 214)","(-19, 254)",0,4,200,12250
"(-12, -40)","(-53.0, 0.0)","(-66, 27)","(43, 69)","(-5, 86)","(-126, 27)","(-41, 27)","(-54, 67)","(-113, -10)","(55, 109)","(0.0, 126.0)","(-31, 214)","(-19, 254)",0,4,200,12286
"(-13, -40)","(-54.0, 0.0)","(-67, 27)","(42, 69)","(-6, 86)","(-127, 27)","(-41, 27)","(-54, 67)","(-113, -10)","(55, 109)","(0.0, 126.0)","(-32, 214)","(-19, 254)",0,4,200,12321
"(-13, -41)","(-54.0, 0.0)","(-67, 26)","(42, 68)","(-6, 85)","(-127, 26)","(-41, 27)","(-54, 67)","(-113, -10)","(55, 109)","(0.0, 126.0)","(-32, 213)","(-19, 254)",2,4,200,12357
"(-13, -42)","(-54.0, 0.0)","(-67, 25)","(42, 67)","(-6, 84)","(-127, 25)","(-41, 27)","(-54, 67)","(-113, -10)","(55, 109)","(0.0, 126.0)","(-32, 212)","(-19, 254)",2,4,200,12393
"(-13, -43)","(-54.0, 0.0)","(-67, 24)","(42, 66)","(-6, 83)","(-127, 24)","(-41, 27)","(-54, 67)","(-113, -10)","(55, 109)","(0.0, 126.0)","(-32, 211)","(-19, 254)",2,4,200,12429
